date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:24	43281/43281	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Apr%202023%2000:58:11%20GMT	https://marketifythemes.net/html/elisc/index.html	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/index.html	(from )
14:16:24	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
14:16:25	49128/49128	---MCZ	200	added ('OK')	text/css	etag:W/%22f73c-64360224-76af81eb30202259;br%22	https://marketifythemes.net/html/elisc/css/style.css	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/css/style.css	(from https://marketifythemes.net/html/elisc/index.html)
14:16:25	2306/2306	---M--	200	added ('OK')	image/png	etag:%22902-64360227-e960d4fc06edaacf;;;%22	https://marketifythemes.net/html/elisc/img/logo/logo.png	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/logo/logo.png	(from https://marketifythemes.net/html/elisc/index.html)
14:16:25	292776/292776	---MCZ	200	added ('OK')	text/css	etag:W/%22477a8-64360225-651ee60f1356675c;br%22	https://marketifythemes.net/html/elisc/css/plugins.css	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/css/plugins.css	(from https://marketifythemes.net/html/elisc/index.html)
14:16:26	12398/12398	---M--	200	added ('OK')	image/jpeg	etag:%22306e-64360226-2ccbe642a535d68f;;;%22	https://marketifythemes.net/html/elisc/img/about/1.jpg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/about/1.jpg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:26	1184/1184	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224a0-6436022a-8be9658aa6eed85e;br%22	https://marketifythemes.net/html/elisc/img/svg/social/facebook.svg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/svg/social/facebook.svg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:27	1404/1404	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2257c-6436022a-b5820b2d9238b41a;br%22	https://marketifythemes.net/html/elisc/img/svg/social/twitter.svg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/svg/social/twitter.svg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:27	1175/1175	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22497-6436022a-643532f79d34bc3a;br%22	https://marketifythemes.net/html/elisc/img/svg/social/instagram.svg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/svg/social/instagram.svg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:27	2219/2219	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228ab-6436022a-8f9fa7bd4cbc7a80;br%22	https://marketifythemes.net/html/elisc/img/svg/social/dribbble.svg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/svg/social/dribbble.svg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:28	922/922	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2239a-6436022a-f2025ace41605126;br%22	https://marketifythemes.net/html/elisc/img/svg/social/tik-tok.svg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/svg/social/tik-tok.svg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:28	1127/1127	---M--	200	added ('OK')	image/jpeg	etag:%22467-6436022a-6f6ad39070f6ff5c;;;%22	https://marketifythemes.net/html/elisc/img/thumbs/1-1.jpg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/thumbs/1-1.jpg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:30	68330/68330	---M--	200	added ('OK')	image/jpeg	etag:%2210aea-64360227-a6050dfcefdc48e7;;;%22	https://marketifythemes.net/html/elisc/img/experience/2.jpg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/experience/2.jpg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:30	27449/27449	---M--	200	added ('OK')	image/jpeg	etag:%226b39-64360227-8e869363cf035102;;;%22	https://marketifythemes.net/html/elisc/img/experience/3.jpg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/experience/3.jpg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:30	118643/118643	---M--	200	added ('OK')	image/jpeg	etag:%221cf73-64360228-68279e2a8ac67afe;;;%22	https://marketifythemes.net/html/elisc/img/experience/1.jpg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/experience/1.jpg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:30	42546/42546	---M--	200	added ('OK')	image/jpeg	etag:%22a632-64360227-5f24263223f108ad;;;%22	https://marketifythemes.net/html/elisc/img/experience/4.jpg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/experience/4.jpg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:31	194/194	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c2-6436022a-af46c47bed7586d9;;;%22	https://marketifythemes.net/html/elisc/img/svg/rightArrow.svg	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/svg/rightArrow.svg	(from https://marketifythemes.net/html/elisc/index.html)
14:16:31	238901/238901	---M--	200	added ('OK')	image/png	etag:%223a535-64360227-57e33f5588c59aa;;;%22	https://marketifythemes.net/html/elisc/img/about/2.png	C:/Users/hp/Desktop/test/marketifythemes.net/html/elisc/img/about/2.png	(from https://marketifythemes.net/html/elisc/index.html)
